priority_score,business_name,website,vertical,city,area,has_phone,site_quality,band,verdict,trend,last_graded,next_recheck,worst_fault
53,Floral and Hardy,https://floralandhardyofskippack.com/,garden-centre,Skippack,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Salter's Fireplace & Outdoor Living,https://saltersfireplace.com/,fireplace,Hatfield,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,GO2Tech,https://www.go2tech.com/,it,Springfield,Delaware County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Metalmorphose Iron Studio,https://metalmorphoseironworks.com/,metal-construction,Coatesville,Chester County,true,55,dated,rebuild,new,2026-08-06,2026-09-20,thin homepage copy (189 words)
53,Captain Car Wash,https://captaincarwashpa.com/,car-wash,Norristown,Montgomery County,false,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Pro Nails,https://gopronails.com/,beauty,Royersford,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Heart & Soul Tattoo,https://heartandsoultattoos.com/,tattoo,East Greenville,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Benjamin Lovell Shoes,https://www.blshoes.com/,shoes,Spring House,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
53,Manatawny Still Works,https://www.manatawnystillworks.com/,distillery,,Montgomery County,false,32,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,"O'Donnell, Weiss & Mattei, P.C.",https://www.owmlaw.com/,lawyer,,Montgomery County,true,34,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,Zuber Realty,https://www.zuberrealty.com/agents-offices/red-hill-office,estate-agent,Red Hill,Montgomery County,true,34,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
52,Seiler & Drury,https://sdarc.com/,architect,Norristown,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,LPL Financial,http://www.tartaruscapitalmanagement.com/contact,financial,Colmar,Montgomery County,true,34,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,The Restaurant Store,https://www.therestaurantstore.com/stores/Plymouth-Meeting,kitchen,Norristown,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,NovaCare,https://www.novacare.com/contact/find-a-location/pa/conshohocken/conshohocken/?ty=xt,clinic,Conshohocken,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,"J-Pro, Inc.",https://www.j-propools.com/,swimming-pool,Bridgeport,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,Towne Book Center & Wine Bar,https://www.townebc.com/,books,Collegeville,Montgomery County,true,36,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,Agnes Edmunds Bridal & Formals,https://agnesedmunds.com/,clothes,Pottstown,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
52,UNO Chicago Style Pizza,https://restaurants.unos.com/locations/Oaks/PA/3511,restaurant,Oaks,Montgomery County,true,45,decayed,rebuild,new,2026-08-06,2026-09-20,client error 404
52,Oaks Italian Deli & Pizzeria,http://oaksitaliandeli.com/,restaurant,Phoenixville,Montgomery County,true,46,decayed,rebuild,new,2026-08-06,2026-09-20,"no HTTPS — browsers mark it ""Not secure"""
52,Rally House Collegeville,https://www.rallyhouse.com/rally-house-collegeville,sports,Collegeville,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
52,Rocco's Brick Oven Pizzeria,https://www.roccosbrickoven.net/,restaurant,Collegeville,Montgomery County,true,44,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
52,Red Hill Greenhouses & Florist,https://www.redhillgreenhouse.com/,florist,Red Hill,Montgomery County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
51,C&C Super Seal,https://www.candcsuperseal.com/,paver,Bensalem,Bucks County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
51,Southampton Hot Tub,https://southamptonhottub.com/,swimming-pool,Exton,Chester County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
51,Pipe Xpress Inc,https://pipexpressinc.com/,hardware,West Chester,Chester County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
51,MacLaren Kitchen and Bath,https://maclarenfab.com/,hardware,West Chester,Chester County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
51,Philadelphia Garage,https://www.philadelphiagarage.com/,floorer,,Chester County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
51,Elverson Supply,https://elversonsupply.net/,hardware,Elverson,Chester County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
51,DreamMaker Bath & Kitchen,https://www.dreammaker-remodel.com/chester-county/,kitchen,Chester Springs,Chester County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
50,APR Supply Company,https://www.aprsupply.com/Malvern,trade,Malvern,Chester County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
50,City Electric Supply,https://www.cityelectricsupply.com/branch/409,energy-supplier,West Chester,Chester County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
50,Borsello Landscaping,https://www.borsellolandscaping.com/landscape-services-avondale-pa/,gardener,Avondale,Chester County,true,35,decayed,rebuild,new,2026-08-06,2026-09-20,client error 403
