prospect_id,business,vertical,live_site,qr_target_url,qa_ready,mail_ready,approved_by,has_email,batch
J238-014,APT Heating and Cooling,HVAC,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/apt-heating-and-cooling/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/apt-heating-and-cooling/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-014,ready,hold,,yes,Philadelphia Batch 4
J238-015,Art City Vets & Urgent Care,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/art-city-vets/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/art-city-vets/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-015,ready,hold,,no,Telegram 3D Next 10
J238-016,Artisan Wine and Cheese Cellars,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/artisan-wine-and-cheese-cellars/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/artisan-wine-and-cheese-cellars/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-016,ready,hold,,no,Current Next 20
J238-017,Auger Manufacturing Specialists,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/auger-manufacturing/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/auger-manufacturing/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-017,ready,hold,,no,phl-2026-w34
J238-018,Baldwin's Book Barn,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/baldwins-book-barn/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/baldwins-book-barn/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-018,ready,hold,,no,Telegram 3D Next 10
J238-019,Bàn Bàn Asian Bistro,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ban-ban-asian-bistro/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ban-ban-asian-bistro/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-019,ready,hold,,no,Cinematic builds 169-178
J238-020,Barnes Financial Group,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/barnes-financial-group/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/barnes-financial-group/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-020,ready,hold,,no,phl-2026-w34
J238-021,Bartram's Garden,Botanical Garden,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bartram-garden/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bartram-garden/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-021,ready,hold,,yes,Philadelphia Batch 1 · restored canonical routes
J238-022,BeBalanced Royersford,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/be-balanced-hormone/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/be-balanced-hormone/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-022,ready,hold,,no,phl-2026-w34
J238-023,Benjamin Lovell Shoes,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/benjamin-lovell-shoes/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/benjamin-lovell-shoes/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-023,ready,hold,,no,phl-2026-w33
J238-024,BG Electric Service LLC,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bg-electric/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bg-electric/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-024,ready,hold,,no,phl-2026-w34
J238-025,"Big Head Transport, LLC",Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/big-head-transport/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/big-head-transport/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-025,ready,hold,,no,Cinematic builds 169-178
J238-026,"Bill Frusco Plumbing, Heating & Cooling",Plumbing / HVAC / commercial,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bill-frusco-plumbing-heating-cooling/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bill-frusco-plumbing-heating-cooling/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-026,ready,hold,,no,Philadelphia Batch 4
J238-027,"Borden Heating & Cooling, Inc.",HVAC,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/borden-heating-cooling-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/borden-heating-cooling-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-027,ready,hold,,no,Philadelphia Batch 4
J238-028,Borsello Landscaping,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/borsello-landscaping/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/borsello-landscaping/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-028,ready,hold,,no,radar-next15-20260810-050919
J238-029,Boyle Energy,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/boyle-energy-heating-air-conditioning-oil-propane/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/boyle-energy-heating-air-conditioning-oil-propane/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-029,ready,hold,,no,radar-next15-20260809-170919
J238-030,BPM Fitness,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bpm-fitness/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bpm-fitness/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-030,ready,hold,,no,phl-2026-w34
J238-031,"Brandon Electric, Inc.",Electrical,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/brandon-electric-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/brandon-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-031,ready,hold,,no,Philadelphia Batch 4
J238-032,Brandywine Auto Parts,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/brandywine-auto-parts/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/brandywine-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-032,ready,hold,,no,radar-next15-20260810-110919
J238-033,Bridesburg Spine and Injury Clinic,Medical & Healthcare,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bridesburg-spine-and-injury-clinic/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bridesburg-spine-and-injury-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-033,ready,hold,,no,Philadelphia W31 verified 25
J238-034,"Bryn Mawr Plumbing & Heating Co., Inc.",Plumbing / sewer,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bryn-mawr-plumbing-heating-co-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bryn-mawr-plumbing-heating-co-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-034,ready,hold,,yes,Philadelphia Batch 3
J238-035,"Bustleton Services, Inc",Home Services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bustleton-services/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bustleton-services/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-035,ready,hold,,yes,Philadelphia W31 verified 25
J238-036,C&C Super Seal,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/c-and-c-super-seal/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/c-and-c-super-seal/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-036,ready,hold,,no,Radar Impeccable Five
J238-037,Captain Car Wash,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/captain-car-wash/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/captain-car-wash/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-037,ready,hold,,no,radar-next15-20260809-170919
J238-038,Centrum Mechanical Services,Mechanical / HVAC / plumbing,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/centrum-mechanical-services/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/centrum-mechanical-services/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-038,ready,hold,,no,Philadelphia Batch 4
J238-039,Chadds Ford Animal Hospital,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chadds-ford-animal-hospital/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/chadds-ford-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-039,ready,hold,,no,Current Next 20
J238-040,Charles Schillinger Company,Metal spinning / forming,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/charles-schillinger-company/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/charles-schillinger-company/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-040,ready,hold,,no,Philadelphia Batch 4
J238-041,Chestnut Hill Animal Hospital,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chestnut-hill-animal-hospital/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/chestnut-hill-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-041,ready,hold,,no,phl-2026-w34
J238-042,"Choice Coating, Inc.",Plumbing / sewer,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/choice-coating-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/choice-coating-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-042,ready,hold,,yes,Philadelphia Batch 3
J238-043,Chris Clement Plumbing & Heating,Painting / drywall,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chris-clement-plumbing-heating/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/chris-clement-plumbing-heating/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-043,ready,hold,,yes,Philadelphia Batch 3
J238-044,Ciocca Pre-Owned Autos,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ciocca-pre-owned-autos/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ciocca-pre-owned-autos/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-044,ready,hold,,no,Current Next 20
J238-045,City Electric Supply West Chester,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/city-electric-supply/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/city-electric-supply/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-045,ready,hold,,no,radar-next15-20260810-050919
J238-046,"Cleaned by D&D, LLC",Commercial cleaning,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/cleaned-by-d-d-llc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/cleaned-by-d-d-llc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-046,ready,hold,,yes,Philadelphia Batch 4
J238-047,C. Mazzoni Brothers Inc.,Painting / drywall,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/c-mazzoni-brothers-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/c-mazzoni-brothers-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-047,ready,hold,,yes,Philadelphia Batch 3
J238-048,Colmar Dentistry For Kids,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/colmar-dentistry-for-kids/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/colmar-dentistry-for-kids/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-048,ready,hold,,no,phl-2026-w34
J238-049,Commercial Wallcovering,Plumbing / sewer,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/commercial-wallcovering/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/commercial-wallcovering/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-049,ready,hold,,yes,Philadelphia Batch 3
J238-050,"CompuCraft Fabricators, Inc.",Precision sheet metal,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/compucraft-fabricators-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/compucraft-fabricators-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-050,ready,hold,,yes,Philadelphia Batch 4
J238-051,County Line Veterinary Hospital,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/county-line-veterinary-hospital/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/county-line-veterinary-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-051,ready,hold,,no,phl-2026-w34
J238-052,Custom IT Solutions,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/custom-it-solutions/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/custom-it-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-052,ready,hold,,no,radar-next15-20260809-230919
J238-053,"Dan Ferry Plumbing, Inc.",Plumbing / sewer,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dan-ferry-plumbing-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dan-ferry-plumbing-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-053,ready,hold,,yes,Philadelphia Batch 3
J238-054,Davidson Fabricating,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/davidson-fabricating/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/davidson-fabricating/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-054,ready,hold,,no,phl-2026-w33
J238-055,Del Chevrolet,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/del-chevrolet/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/del-chevrolet/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-055,ready,hold,,no,Current Next 20
J238-056,Dentistry for Life,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dentistry-for-life/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dentistry-for-life/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-056,ready,hold,,no,Telegram 3D Next 10
J238-057,Dependable Concrete Contractor LLC,Home Services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dependable-concrete/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dependable-concrete/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-057,ready,hold,,yes,Philadelphia Batch 2
J238-058,Di Bruno Bros. Italian Market,Specialty Foods,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dibruno-bros/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dibruno-bros/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-058,ready,hold,,yes,Philadelphia Batch 1 · restored canonical routes
J238-059,Dinse Dental Care,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dinse-dental-care/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dinse-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-059,ready,hold,,no,Current Next 20
J238-060,DreamMaker Bath & Kitchen of Chester County,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dreammaker-bath-kitchen/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dreammaker-bath-kitchen/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-060,ready,hold,,no,phl-2026-w34
J238-061,Dream Team Home Services,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dream-team-hvac/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dream-team-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-061,ready,hold,,no,phl-2026-w33
J238-062,Orthodontic Associates of Collegeville,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dr-weiss-s-office/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dr-weiss-s-office/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-062,ready,hold,,no,radar-next15-20260809-170919
J238-063,"Dunryte Electric, Inc.",Electrical,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dunryte-electric-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dunryte-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-063,ready,hold,,yes,Philadelphia Batch 4
J238-064,Dutton Road Veterinary Clinic,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dutton-road-veterinary-clinic/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dutton-road-veterinary-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-064,ready,hold,,no,phl-2026-w33
J238-065,E & E cleaning services,Home Services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/e-and-e-cleaning/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/e-and-e-cleaning/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-065,ready,hold,,yes,Philadelphia W31 verified 25
J238-066,Eastern Dragon,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eastern-dragon/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/eastern-dragon/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-066,ready,hold,,no,phl-2026-w33
J238-067,Eastern State Penitentiary,Historic Site,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eastern-state/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/eastern-state/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-067,ready,hold,,yes,Philadelphia Batch 1 · restored canonical routes
J238-068,Easy Auto Tag & Insurance,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/easy-auto-tag-insurance/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/easy-auto-tag-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-068,ready,hold,,no,phl-2026-w34
J238-069,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck",Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eisenberg-rothweiler/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/eisenberg-rothweiler/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-069,ready,hold,,no,phl-2026-w34
J238-070,Electric Direct,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/electric-direct/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/electric-direct/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-070,ready,hold,,no,phl-2026-w33
J238-071,Elite Philly Auto Parts,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/elite-auto-parts/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/elite-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-071,ready,hold,,no,Cinematic builds 169-178
J238-072,Elverson Supply,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/elverson-supply/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/elverson-supply/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-072,ready,hold,,no,phl-2026-w33
J238-073,Ember & Ale,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ember-ale/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ember-ale/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-073,ready,hold,,no,radar-next15-20260810-110919
J238-074,EPAM Philadelphia,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/epam/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/epam/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-074,ready,hold,,no,radar-next15-20260810-050919
J238-075,"Ernest D. Menold, Inc.",General sheet metal,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ernest-d-menold-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ernest-d-menold-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-075,ready,hold,,yes,Philadelphia Batch 4
J238-076,Euphoria Nail Bar,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/euphoria-nail-bar/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/euphoria-nail-bar/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-076,ready,hold,,no,radar-next15-20260809-230919
J238-077,Fante's Kitchen Shop,Kitchenware,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/fantes-kitchen-shop/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/fantes-kitchen-shop/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-077,ready,hold,,yes,Philadelphia Batch 1 · restored canonical routes
J238-078,Farrell's Roofing,Home Services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/farrells-roofing/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/farrells-roofing/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-078,ready,hold,,yes,Philadelphia W31 verified 25
J238-079,Faulkner Buick GMC,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/faulkner-buick-gmc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/faulkner-buick-gmc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-079,ready,hold,,no,Current Next 20
