Platform,Campaign,Ad_Set,Name,Number,Email,Business,Website_other,prospect_id,qr_target_url,qa_ready,mail_ready,address,notes
Direct Mail,jesse-238,Painting / drywall,,,,Chris Clement Plumbing & Heating,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/chris-clement-plumbing-heating/,J238-043,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/chris-clement-plumbing-heating/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-043,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Ciocca Pre-Owned Autos,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ciocca-pre-owned-autos/,J238-044,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ciocca-pre-owned-autos/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-044,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,City Electric Supply West Chester,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/city-electric-supply/,J238-045,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/city-electric-supply/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-045,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Commercial cleaning,,,,"Cleaned by D&D, LLC",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/cleaned-by-d-d-llc/,J238-046,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/cleaned-by-d-d-llc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-046,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Painting / drywall,,,,C. Mazzoni Brothers Inc.,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/c-mazzoni-brothers-inc/,J238-047,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/c-mazzoni-brothers-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-047,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Colmar Dentistry For Kids,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/colmar-dentistry-for-kids/,J238-048,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/colmar-dentistry-for-kids/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-048,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Plumbing / sewer,,,,Commercial Wallcovering,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/commercial-wallcovering/,J238-049,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/commercial-wallcovering/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-049,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Precision sheet metal,,,,"CompuCraft Fabricators, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/compucraft-fabricators-inc/,J238-050,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/compucraft-fabricators-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-050,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,County Line Veterinary Hospital,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/county-line-veterinary-hospital/,J238-051,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/county-line-veterinary-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-051,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Custom IT Solutions,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/custom-it-solutions/,J238-052,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/custom-it-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-052,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Plumbing / sewer,,,,"Dan Ferry Plumbing, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dan-ferry-plumbing-inc/,J238-053,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dan-ferry-plumbing-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-053,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Davidson Fabricating,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/davidson-fabricating/,J238-054,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/davidson-fabricating/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-054,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Del Chevrolet,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/del-chevrolet/,J238-055,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/del-chevrolet/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-055,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Dentistry for Life,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dentistry-for-life/,J238-056,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dentistry-for-life/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-056,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Home Services,,,,Dependable Concrete Contractor LLC,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dependable-concrete/,J238-057,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dependable-concrete/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-057,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Specialty Foods,,,,Di Bruno Bros. Italian Market,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dibruno-bros/,J238-058,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dibruno-bros/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-058,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Dinse Dental Care,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dinse-dental-care/,J238-059,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dinse-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-059,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,DreamMaker Bath & Kitchen of Chester County,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dreammaker-bath-kitchen/,J238-060,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dreammaker-bath-kitchen/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-060,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Dream Team Home Services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dream-team-hvac/,J238-061,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dream-team-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-061,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
