id,name,slug,issue,drop
40,The Restaurant Store Plymouth Meeting,the-restaurant-store,placeholder,0
41,Theory Outlet at Philadelphia Premium Outlets,theory,placeholder,0
42,THR Insurance Agency,thr-insurance-agency,dup,1
43,TM Prestige Home Cash Buyer,tm-prestige-home-cash-buyer,placeholder,0
44,Towne Book Center & Wine Bar,towne-book-center-wine-bar,placeholder,0
45,Trend Auto Trader,trend-auto-trader,placeholder,0
46,UNO Pizzeria & Grill Oaks,uno-chicago-style-pizza,placeholder,0
47,Zuber Realty,zuber-realty,placeholder,0
48,Anthony Gueriera Jr. Insurance Agency LLC,anthony-gueriera-insurance,webgl,0
49,Art City Vets & Urgent Care,art-city-vets,webgl,0
50,Baldwin's Book Barn,baldwins-book-barn,webgl,0
51,Big Head Transport LLC,big-head-transport,webgl,0
52,Bàn Bàn Asian Bistro,ban-ban-asian-bistro,webgl,0
53,Dentistry for Life,dentistry-for-life,webgl,0
54,Elite Philly Auto Parts,elite-auto-parts,webgl,0
55,Frazer Antiques,frazer-antiques,webgl,0
56,Germantown Dental Group,germantown-dental-group,webgl,0
57,Golden Eagle Jewelers,golden-eagle-jewelry,webgl,0
58,Kehan's Auto Service,kehans-auto-service,webgl,0
59,Lee's Hoagie House of Horsham,lees-hoagie-house,webgl,0
60,Main Line Veterinary Hospital,main-line-veterinary-hospital,webgl,0
61,Morton Electric Pool & Spa,morton-electric-pool-spa,webgl,0
62,Pizza Peddler,pizza-peddler,webgl,0
63,Udis & Conn Orthodontics,udis-conn-orthodontics,webgl,0
64,UrgentVet Pottstown,urgentvet-pottstown,webgl,0
65,Welcome Dental,welcome-dental,webgl,0
66,Whitelands Animal Hospital,whitelands-animal-hospital,webgl,0
67,Wholly Grounds Coffeehouse,wholly-grounds,webgl,0
68,Dutton Road Veterinary Clinic,dutton-road-veterinary-clinic,nophoto,0
69,Always Dental Care,always-dental-care,genhero,0
70,Andorra Family Dentistry,andorra-family-dentistry,design,0
71,Artisan Wine and Cheese Cellars,artisan-wine-and-cheese-cellars,design,0
72,Auger Manufacturing Specialists,auger-manufacturing,design,0
73,Barnes Financial Group,barnes-financial-group,design,0
74,BeBalanced Royersford,be-balanced-hormone,design,0
75,Benjamin Lovell Shoes,benjamin-lovell-shoes,design,0
76,BG Electric Service LLC,bg-electric,design,0
77,BPM Fitness,bpm-fitness,design,0
78,C&C Super Seal,c-and-c-super-seal,design,0
79,Chadds Ford Animal Hospital,chadds-ford-animal-hospital,design,0
80,Chestnut Hill Animal Hospital,chestnut-hill-animal-hospital,design,0
81,Ciocca Pre-Owned Autos,ciocca-pre-owned-autos,design,0
82,Colmar Dentistry For Kids,colmar-dentistry-for-kids,design,0
83,County Line Veterinary Hospital,county-line-veterinary-hospital,design,0
84,Davidson Fabricating,davidson-fabricating,design,0
85,Del Chevrolet,del-chevrolet,design,0
86,Dinse Dental Care,dinse-dental-care,design,0
87,Dream Team Home Services,dream-team-hvac,design,0
88,DreamMaker Bath & Kitchen of Chester County,dreammaker-bath-kitchen,design,0
89,Eastern Dragon,eastern-dragon,design,0
90,Easy Auto Tag & Insurance,easy-auto-tag-insurance,design,0
